OBJECTID,SCHOOL_NAME,STREET_ADDRESS,ZIP_CODE,GRADE_LEVEL,GRADE_ORG,TYPE,TYPE_SPECIFIC
523,MASTERY CHARTER-LENFEST CAMPUS,35 S 4TH ST,19106,MIDDLE/HIGH,7-12,2,CHARTER
524,MASTERY CHARTER-SHOEMAKER,5301 MEDIA ST,19131,MIDDLE/HIGH,7-12,2,CHARTER
525,MASTERY CHARTER-THOMAS CAMPUS,927 JOHNSTON ST,19148,ELEMENTARY/MIDDLE/HIGH,K-12,2,CHARTER
526,"MATH, CIVICS AND SCIENCES",447 N BROAD ST,19123,ELEMENTARY/MIDDLE/HIGH,1-12,2,CHARTER
527,ONE BRIGHT RAY MANSION,3133 RIDGE AVE,19132,HIGH SCHOOL,9-12,1,CONTRACTED
528,ONE BRIGHT RAY MANSION EVENING,3133 RIDGE AVE,19132,HIGH SCHOOL,9-12,1,CONTRACTED
529,DEEP ROOTS CHARTER SCHOOL,3556 FRANKFORD AVE,19134,ELEMENTARY SCHOOL,K-5,2,CHARTER
530,MASTERY PREP ELEMENTARY CHARTER SCHOOL,1801 W PIKE ST,19140,ELEMENTARY SCHOOL,K-3,2,CHARTER
531,KIPP WEST PHILADELPHIA CHARTER SCHOOL,5070 PARKSIDE AVE,19131,ELEMENTARY SCHOOL,K-3,2,CHARTER
532,BEANSTALK LLC,729 E PASSYUNK AVE,19147,KINDERGARTEN,PREK-K,3,PRIVATE
533,MERAKEY EDUCATION CENTER- PHILA,2343 E TUCKER ST,19125,SPECIAL CENTER,,3,PRIVATE
534,PHILLY AGILE LEARNING COMMUNITY SCHOOL,2125 CHESTNUT ST,19103,ELEMENTARY/MIDDLE/HIGH,K-12,3,
535,VOCATIO CAREER PREP HIGH SCHOOL,629-33 W HUNTING PARK AVE,19140,HIGH SCHOOL,9-12,3,PRIVATE
536,KIPP NORTH PHILADELPHIA CHARTER SCHOOL,2539 N. 16TH ST.,19132,ELEMENTARY SCHOOL,K-2,2,CHARTER
537,MAST III CHARTER SCHOOL,1 CROWN WAY,19154,ELEMENTARY SCHOOL,K-5,2,CHARTER
538,PHILADELPHIA HEBREW CHARTER,3300 HENRY AVE,19129,ELEMENTARY SCHOOL,K-1,2,CHARTER
539,PHILADELPHIA PERFORMING ARTS CHARTER: STRING THEORY (E. CAMPUS),2407 S BROAD ST,19148,ELEMENTARY SCHOOL,K-1,2,CHARTER
