OBJECTID,X,Y,STORE_ADDRESS,CDC_STORE_LEVEL,CATEGORY,ZIP
72,-75.16896298652165,39.935981265172245,1200 S 15th St,1.0,Basic,19146
73,-75.09969435178562,39.997861673486064,2090 E Pacific St,2.0,Basic,19134
74,-75.13409483517935,39.98511881258591,147 W Dauphin St,3.0,Enhanced,19133
75,-75.15679236872771,39.93530503175719,1121 E Passyunk Ave,3.0,Enhanced,19147
76,-75.16379217174266,40.03434992507877,309 E Ashmead St,1.0,Basic,19144
77,-75.18341307799521,39.992936243332416,3120-28 W York St,3.0,Enhanced,19132
78,-75.14558202297509,39.99284007788248,811 W Lehigh Ave,2.0,Basic,19133
79,-75.16480435621541,39.96492595158611,1634 Mount Vernon St,3.0,Enhanced,19130
80,-75.21974782692243,39.94198579889641,5131 Chester Ave,2.0,Basic,19143
81,-75.23068807753695,39.921911374864735,6530 Elmwood Ave,3.0,Enhanced,19142
82,-75.16323462606191,39.99194909399233,2500 N 19Th St,2.0,Basic,19132
83,-75.18216393070665,39.93633223087853,1267 S 23rd St,1.0,Basic,19146
84,-75.14085485319619,39.982637793194776,412 Diamond St,3.0,Enhanced,19122
85,-75.23258055383958,39.9268856559053,6351 Woodland Ave,1.0,Basic,19142
86,-75.14450416376943,39.99527922798197,2865 N 8th St,3.0,Enhanced,19133
87,-75.18045986008045,39.922519756858954,2355 S Woodstock St,3.0,Enhanced,19145
88,-75.13975917181381,40.01733699316368,801 W Bristol St,1.0,Basic,19140
89,-75.13211299888523,39.97314938324311,1400 E Columbia Ave,3.0,Enhanced,19125
90,-75.24125264506557,39.91448061608021,7244 Elmwood Ave,1.0,Basic,19142
91,-75.16104972287643,39.916831120493775,2601 S 8th St,2.0,Certification,19148
92,-75.16460766249298,39.9152879276969,2747 S 10Th St,3.0,Certification,19148
93,-75.09963903977702,40.00033847685655,2000 Castor Ave,3.0,Enhanced,19134
94,-75.19566086604112,39.935219584706395,1501 S 31St St,2.0,Basic,19146
95,-75.1348219706757,39.98512703927509,162 W Dauphin St,3.0,Enhanced,19133
96,-75.11669887646843,40.00014469070585,701 E Ontario St,3.0,Enhanced,19134
97,-75.1740322378142,39.985389736961395,2440 W Norris St,3.0,Enhanced,19121
98,-75.17333124726348,39.99958616422024,2900 N 26Th St,2.0,Basic,19132
99,-75.17904206914555,39.94290248815372,755 S 22Nd St,1.0,Basic,19146
100,-75.14018134313086,39.98101907032976,312 W Norris St,3.0,Enhanced,19122
101,-75.15990805515843,39.98450138484626,2027 N 16th St,3.0,Enhanced,19121
102,-75.13043369489759,40.02319139441477,4729 N 3rd St,3.0,Enhanced,19120
103,-75.15541126319894,40.00984291462222,1627 W Erie Ave,1.0,Basic,19140
104,-75.153554468772,40.01114872804343,1540 W Butler St,3.0,Enhanced,19140
105,-75.16855811857674,39.97566554796535,2012 Ridge Ave,3.0,Enhanced,19121
106,-75.22396371693682,39.925395651137336,2561 S 61St St,2.0,Basic,19142
107,-75.0961717618377,40.048969271412055,6351 Rising Sun Ave,2.0,Basic,19111
108,-75.17445463688665,39.979361730621726,2400 W Oxford St,3.0,Enhanced,19121
109,-75.2356314929043,39.977818870515094,1660 N 57Th St,1.0,Basic,19131
110,-75.11688459983489,39.9888886119312,2085 E Cambria St,2.0,Basic,19134
111,-75.13092085697117,40.055340893455245,712 Oak Lane,2.0,Basic,19126
112,-75.13601772551635,39.98047679724551,172 W Norris St,3.0,Enhanced,19122
113,-75.13283699850234,40.00069848677526,3301 N 2Nd St,2.0,Basic,19140
114,-75.13655288656419,40.01474900940329,4171 N Fairhill St,1.0,Basic,19140
